Tahun-Bulan,Inflasi (%)
23-Dec,0.31
24-Jan,-0.26
24-Feb,0.45
24-Mar,0.6
24-Apr,0.52
24-May,-0.21
24-Jun,-0.37
24-Jul,0.1
24-Aug,-0.08
24-Sep,-0.11
24-Oct,0.11
24-Nov,0.19
24-Dec,0.44
25-Jan,-0.72
25-Feb,-0.53
25-Mar,1.3
25-Apr,1.09
25-May,-0.22
25-Jun,0.36
25-Jul,0.19
25-Aug,-0.07
25-Sep,0.17
25-Oct,0.35
25-Nov,0.21
25-Dec,0.8
